Company Name,Street Address,City,State/Region,Postal Code,Country/Region,Phone Number,Number of Employees,Industry,Annual revenue
"New Mountain Capital, L.L.C.",787 7Th Ave #49,New York,NY,10019,United States,(212) 720-0300,100 - 249,Finance,1000000
"Surgery Partners, Inc.",310 Seven Springs Way Suite 500,Nashville,TN,37027,United States,(615) 234-5900,5000 - 9999,Healthcare and Pharmaceuticals,2000000
"Guaranteed Rate, Inc.",3940 N Ravenswood Ave,Chicago,IL,60613,United States,(773) 290-0505,5000 - 9999,Finance,5000000
"Truconnect Mobile, Llc",1510 E Florence Ave,Los Angeles,CA,90001,United States,(323) 776-9880,250 - 499,Telecommunications,500000000
"Nestle Purina Petcare Global Resources, Inc.",900 Long Ridge Rd Building 2,Stamford,CO,6902,United States,(203) 629-7243,10000 +,Food and Beverage,100000000
Children's Health Clinical Operations,1935 Medical District Dr,Dallas,TX,75235,United States,(214) 456-7000,5000 - 9999,Healthcare and Pharmaceuticals,40000000
"Tradestation Group, Inc.",8050 Sw 10Th St,Plantation,FL,33324,United States,(954) 652-7000,250 - 499,Finance,10000000
Hunter Douglas Inc.,9046 W Bowles Ave,Littleton,CO,80123,United States,(303) 972-9393,10000 +,Consumer Goods,20000000
Memorial Hermann Healthcare System,1431 Studemont St,Houston,TX,77007,United States,(346) 701-3800,10000 +,Healthcare and Pharmaceuticals,200000000
Usaa Life Insurance Company,9800 Fredericksburg Rd,San Antonio,TX,78288,United States,(210) 531-8722,10000 +,Insurance,1000000000
Energysolutions,1009 Commerce Park Drive,Oak Ridge,TN,37830,United States,(801) 649-2000,500 - 999,Business Services and Consulting,500000000
Gemaire Distributors,2151 West Hillsboro Boulevard,Deerfield Beach,FL,33442,United States,(954) 246-2665,500 - 999,Retail and Wholesale,200000000
Kane's Furniture,15100 Tamiami Trl,Naples,FL,34110,United States,(727) 545-9555,500 - 999,Manufacturing,500000000
Kent Intermediate School District,2930 Knapp Street Ne,Grand Rapids,MI,49525,United States,(616) 364-1333,500 - 999,Education - Higher,100000000
San Luis Coastal Unified School District,1500 Lizzie Street,San Luis Obispo,CA,93401,United States,(805) 549-1200,500 - 999,Education - Higher,100000000
Activision Blizzard,3100 Ocean Park Blvd,Santa Monica,CA,90405,United States,(310) 255-2000,5000 - 9999,Media and Internet,5000000000
Cliftonlarsonallen,9300 Wade Blvd #101,Frisco,TX,75035,United States,(612) 376-4500,5000 - 9999,Finance,1000000000
"California State University, Dominguez Hills",1000 E Victoria St,Carson,TX,90747,United States,(310) 243-3696,1000 - 4999,Education - Higher,100000000
Henry Schein,19717 62Nd Avenue South,St Paul,WA,98032,United States,(631) 843-5500,1000 - 4999,Retail and Wholesale,50000000
Interstate Batteries,12770 Merit Dr Suite 1000,Dallas,TX,75251,United States,(972) 991-1444,1000 - 4999,Consumer Goods,100000000
7-Eleven Inc,3200 Hackberry Rd,Irving,TX,75063,United States,(972) 828-0711,10000 +,Retail and Wholesale,6000000000
"Advance Auto Parts, Inc.",1072 U S 9,Parlin,NJ,8859,United States,(732) 479-4831,10000 +,Retail and Wholesale,5000000000
Amerisourcebergen,1300 Morris Drive,Chesterbrook,PA,19087,United States,(610) 727-7319,10000 +,Healthcare and Pharmaceuticals,10000000000
Applied Materials,3050 Bowers Avenue,Santa Clara,CA,95054,United States,(408) 235-6589,10000 +,Manufacturing,10000000000
Bass Pro Shops,2500 E Kearney Street,Springfield,MO,65803,United States,(417) 873-4402,10000 +,Retail and Wholesale,5000000000
Beall's,1806 38Th Avenue E,Bradenton,FL,34208,United States,(941) 744-4196,10000 +,Retail and Wholesale,5000000000
Best Buy,7601 Penn Avenue S,Richfield,MN,55423,United States,(612) 291-1000,10000 +,Retail and Wholesale,10000000000
Bny Mellon,500 Grant St,Pittsburgh,PA,15219,United States,(412) 923-4657,10000 +,Finance,10000000000
Cerner Corporation,2800 Rockcreek Parkway,North Kansas City,MO,64117,United States,(816) 221-1024,10000 +,IT Software,5000000000
Charles Schwab,20 Springside Drive,Akron,OH,44333,United States,(330) 908-4770,10000 +,Finance,20000000000
Charter Communications,400 Atlantic Street,Stamford,CT,6901,United States,(314) 388-8240,10000 +,Telecommunications,10000000000
Cigna,900 Cottage Grove Road,Bloomfield,CT,6002,United States,(860) 226-6000,10000 +,Healthcare and Pharmaceuticals,10000000000
Continental Automotive Systems,1 Continental Drive,Auburn Hills,MI,48326,United States,(248) 393-5450,10000 +,Manufacturing,5000000000
Cox Communications,6305-A Peachtree Dunwoody Road,Atlanta,GA,30319,United States,(678) 645-0000,10000 +,Telecommunications,5000000000
Gamestop,625 Westport Parkway,Grapevine,TX,76051,United States,(817) 424-2000,10000 +,Retail and Wholesale,5000000000
General Motors,300 Renaissance Center,Detroit,MI,48243,United States,(313) 667-4786,10000 +,Manufacturing,20000000000
Iron Mountain,1 Federal St,Boston,MA,2110,United States,(323) 308-5198,10000 +,IT Hardware,7000000000
Johnson Controls,5757 N Green Bay Avenue,Glendale,WI,53209,United States,(414) 524-1200,10000 +,Manufacturing,9000000000
"Lowe's Companies, Inc.",509 River Hwy,Mooresville,NC,28117,United States,(704) 660-7177,10000 +,Retail and Wholesale,5000000000
Nbcuniversal,100 Universal Plaza,Universal,CA,91608,United States,(212) 664-4000,10000 +,Media and Internet,6000000000
Ncr,1700 S Patterson Boulevard,Dayton,OH,45409,United States,(937) 445-1936,10000 +,IT Hardware,5000000000